id,comic_name,writer_name,publisher,publication_magazine,publish_number,publish_status,duration,img_url,rating
7531,青春の尻尾,"小池一夫 平野仁",小学館,,全4巻,完結済,"1989 〜 1989",,--
7532,新カラテ地獄変,"梶原一騎 中城健 高森敦子",松文館,,全10巻,完結済,"2002 〜 2003",,--
7533,年下イトコは強淫王子,むつきらん,三交社,,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/616Yjs8OLcL.jpg,--
7534,パスタの王国,中祥人,日本文芸社,別冊漫画ゴラク増刊・食漫,全1巻,完結済,"2010 〜 2010",https://images-na.ssl-images-amazon.com/images/I/51t2WKX5VVL.jpg,--
7535,花の中へ,市川ジュン,"eBookJapan Plus",,巻,連載中," 〜 ",,--
7536,ブルースを聴かせて,伊万里すみ子,"eBookJapan Plus",,巻,連載中," 〜 ",,--
7537,"自分勝手な女たち このベビーカー見えませんか?",河東ますみ,笠倉出版社,,巻,連載中," 〜 ",,--
7538,JK、男子高校生を買う。,シニオテルヤ,COMIC維新,,巻,連載中," 〜 ",,--
7539,冷徹社長の溶かし方,ほり恵利織,ぶんか社,,巻,連載中," 〜 ",,--
7540,ヤンキーとファンタジー,双葉よう,マッグガーデン,,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51t2GbKTv-L.jpg,--
7541,「結婚」売ります!,"uroco 春野しゅん",COMIC維新,,巻,連載中," 〜 ",,--
7542,お高い彼の誘惑キス,美波はるこ,ぶんか社,,巻,連載中," 〜 ",,--
7543,骨盤先生の保健室,"樹るう 寺門琢己",ぶんか社,,巻,連載中," 〜 ",,--
7544,だいなし,さとがねしょう,マッグガーデン,,巻,連載中," 〜 ",,--
7545,その男、野蛮につき,ピエール山本,ぶんか社,,巻,連載中," 〜 ",,--
7546,欲情×温泉,かーみら,ぶんか社,,巻,連載中," 〜 ",,--
7547,のぼせるからだ,ミナヅキアキラ,大洋図書,,全1巻,完結済,"2011 〜 2011",https://images-na.ssl-images-amazon.com/images/I/51HGuIW3nGL.jpg,--
7548,さら・さら・ゆくよ,本田恵子,双葉社,,巻,連載中," 〜 ",,--
7549,娼婦地獄,空路,ぶんか社,,巻,連載中," 〜 ",,--
7550,俺の空刑事編,本宮ひろ志,"サード ライン",,巻,連載中," 〜 ",,--
7551,"愛しの焔外伝 市姫恋絵巻",もとむらえり,フレックスコミックス,,巻,連載中," 〜 ",,--
7552,"まんがグリム童話 中国悪女伝",藤田あつ子,ぶんか社,,巻,連載中," 〜 ",,--
7553,"今、きみを救いたい 分冊版",本田恵子,双葉社,,巻,連載中," 〜 ",,--
7554,摩天楼,"工藤かずや 廿里祥一郎",双葉社,,5巻,連載中,"2003 〜 ",,--
7555,最凶ストーカー,北上祐帆,ぶんか社,,巻,連載中," 〜 ",,--
7556,"まんがグリム童話 闇に堕ちた性奴隷",摩耶夕湖,ぶんか社,,巻,連載中," 〜 ",,--
7557,"バテリバイス 人間電池と砂の巨像","赤岸K 千賀史貴",双葉社,月刊アクション,全2巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/61jCUyAisPL.jpg,--
7558,二十歳の原点,"岡田鯛 高野悦子",双葉社,,巻,連載中," 〜 ",,--
7559,"moon under the moon",あじみね朔生,大洋図書,,全1巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/510Y7MbDmJL.jpg,--
7560,ぽてまよ,御形屋はるか,双葉社,,全5巻,完結済,"2005 〜 2011",https://images-na.ssl-images-amazon.com/images/I/41pQ0bZk1mL.jpg,--
7561,ぶっだなでいず,なかおもとこ,双葉社,マンガリーフ,全3巻,完結済,"2017 〜 2018",https://images-na.ssl-images-amazon.com/images/I/51JRVnK3Q6L.jpg,--
7562,1/4の溺愛,高橋依摘,ぶんか社,,巻,連載中," 〜 ",,--
7563,芹沢君の愛が重い,"桜井飛鳥 桜井飛鳥読み切りCollection",ぶんか社,,巻,連載中," 〜 ",,--
7564,リキッド。,"ユキ じーこ",エブリスタ,エブリスタ,全巻,完結済," 〜 ",,--
7565,"実録ネットガチ体験事件簿!! 黒い奇襲!!",椎名あや,"Big Fields Publishing",,巻,連載中," 〜 ",,--
7566,抱かれたい女,森園みるく,秋田書店,,全1巻,完結済,"1989 〜 1989",,--
7567,天使か悪魔か,越智千文,桜桃書房,,全3巻,完結済,"1996 〜 1997",https://images-na.ssl-images-amazon.com/images/I/51bJDw%2BLgdL.jpg,--
7568,xxxな関係,なかじ有紀,白泉社,,巻,連載中," 〜 ",,--
7569,パスタの王国,中祥人,日本文芸社,別冊漫画ゴラク増刊・食漫,全1巻,完結済,"2010 〜 2010",https://images-na.ssl-images-amazon.com/images/I/51t2WKX5VVL.jpg,--
7570,姐さんはつらいよ!,ケン月影,ぶんか社,,全1巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/61CLfnlKv5L.jpg,--
7571,からめるハニー,拓平,マッグガーデン,uvu,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51BxGDTZ%2BzL.jpg,--
7572,"綴 -目を開けて見えた景色-",椿あす,スクウェア・エニックス,月刊ガンガンJOKER,全2巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51U87nMzZ1L.jpg,--
7573,"愛しの焔外伝 市姫恋絵巻",もとむらえり,フレックスコミックス,,巻,連載中," 〜 ",,--
7574,"まんがグリム童話 中国悪女伝",藤田あつ子,ぶんか社,,巻,連載中," 〜 ",,--
7575,汚い奴,高口里純,双葉社,,全1巻,完結済,"1989 〜 1989",,--
7576,騎士様の使い魔,"蒔々 村沢侑",アルファポリス,,巻,連載中," 〜 ",,--
7577,最凶ストーカー,北上祐帆,ぶんか社,,巻,連載中," 〜 ",,--
7578,"渡千枝傑作集 闇の病棟",渡千枝,ぶんか社,,巻,連載中," 〜 ",,--
7579,"渡千枝傑作集 不動王仁彦",渡千枝,ぶんか社,,巻,連載中," 〜 ",,--
7580,ロストワールド,手塚治虫,講談社,,全2巻,完結済,"1994 〜 1995",https://images-na.ssl-images-amazon.com/images/I/210D4AG7RCL.jpg,--
7581,LOVEみいDO,湖東美朋,A-WAGON,,巻,連載中," 〜 ",,--
7582,童貞カレシが寝かせてくれない!今夜もふたりで快感えっち,クロマメ,ぶんか社,,巻,連載中," 〜 ",,--
7583,"Do race?",OKAMA,白泉社,ヤングアニマル嵐,3巻,連載中,"2017 〜 ",https://images-na.ssl-images-amazon.com/images/I/61CwCLYTYTL.jpg,--
7584,イきすぎたおもてなし,"福山煉士 水野なさ",クリエイティブエンタテインメント,,巻,連載中," 〜 ",,--
7585,花魁調教,貴咲光流,ぶんか社,,巻,連載中," 〜 ",,--
7586,ラヴィアンローズ,桂小町,海王社,,巻,連載中," 〜 ",,--
7587,ぽてまよ,御形屋はるか,双葉社,,全5巻,完結済,"2005 〜 2011",https://images-na.ssl-images-amazon.com/images/I/41pQ0bZk1mL.jpg,--
7588,終わらない夜,植木亜衣,"Big Fields Publishing",,巻,連載中," 〜 ",,--
7589,裏切り女に怒りの復讐,"小野拓実 阪口ナオミ 伊東爾子 その他",ぶんか社,,巻,連載中," 〜 ",,--
7590,アダムの肋骨,みちのくアタミ,大洋図書,,巻,連載中," 〜 ",,--
7591,バス走る。,佐原ミズ,新潮社,週刊コミックバンチ,全1巻,完結済,"2007 〜 2007",https://images-na.ssl-images-amazon.com/images/I/51B%2BZ1CagnL.jpg,--
7592,I・chi・zuなんです!,湖東美朋,実業之日本社,,全2巻,完結済,"1996 〜 1997",,--
7593,整形中毒の女,まるいぴよこ,ぶんか社,,巻,連載中," 〜 ",,--
7594,八雲さんは餌づけがしたい。,里見U,スクウェア・エニックス,ヤングガンガン,8巻,連載中,"2016 〜 ",https://images-na.ssl-images-amazon.com/images/I/51eA-mPyLBL.jpg,--
